model,condition,severity,Recall@1,Recall@5,Recall@10,MRR,Mean Rank,Median Rank,Clean Recall@1,R@1 Drop,R@1 Retained (%)
CLIP ViT-B/32,blur+noise+occlusion,severe,0.0584,0.1278,0.1734,0.1006360851269645,215.9112,119.0,0.5344,0.476,10.928143712574851
CLIP ViT-L/14,clean,clean,0.6028,0.8548,0.9248,0.7148200700444478,4.0514,1.0,0.6028,0.0,100.0
CLIP ViT-L/14,blur,mild,0.6102,0.862,0.9286,0.7208961874871153,3.9074,1.0,0.6028,-0.007399999999999962,101.22760451227603
CLIP ViT-L/14,blur,medium,0.584,0.8452,0.9192,0.699336481714024,4.1368,1.0,0.6028,0.01880000000000004,96.8812209688122
CLIP ViT-L/14,blur,severe,0.5072,0.7756,0.862,0.6290214964052507,6.5602,1.0,0.6028,0.09560000000000002,84.14067684140677
CLIP ViT-L/14,noise,mild,0.6076,0.8576,0.925,0.717504617289442,4.1466,1.0,0.6028,-0.0048000000000000265,100.79628400796285
CLIP ViT-L/14,noise,medium,0.606,0.8556,0.9254,0.7161730232008013,4.1696,1.0,0.6028,-0.0031999999999999806,100.53085600530855
CLIP ViT-L/14,noise,severe,0.5704,0.8312,0.906,0.6884895572177082,4.6232,1.0,0.6028,0.032399999999999984,94.62508294625083
CLIP ViT-L/14,occlusion,mild,0.5156,0.7734,0.8676,0.6344666781897514,6.391,1.0,0.6028,0.08720000000000006,85.53417385534173
CLIP ViT-L/14,occlusion,medium,0.3998,0.6746,0.7734,0.5262364456069907,13.528,2.0,0.6028,0.203,66.32382216323822
CLIP ViT-L/14,occlusion,severe,0.315,0.56,0.6686,0.4325165428878252,22.3568,4.0,0.6028,0.2878,52.25613802256138
CLIP ViT-L/14,blur+noise,mild,0.6004,0.8476,0.921,0.7106002575891687,4.2866,1.0,0.6028,0.0023999999999999577,99.60185799601858
CLIP ViT-L/14,blur+noise,medium,0.5614,0.8208,0.8988,0.6783290958789862,4.872,1.0,0.6028,0.04139999999999999,93.13205043132051
CLIP ViT-L/14,blur+noise,severe,0.3338,0.5722,0.6636,0.4465332943053439,26.18,3.0,0.6028,0.269,55.37491705374917
CLIP ViT-L/14,blur+occlusion,mild,0.5174,0.7866,0.8758,0.6386450970146192,5.8632,1.0,0.6028,0.08540000000000003,85.8327803583278
CLIP ViT-L/14,blur+occlusion,medium,0.3824,0.6522,0.7452,0.5063008199251341,14.9656,3.0,0.6028,0.22039999999999998,63.43729263437293
CLIP ViT-L/14,blur+occlusion,severe,0.2094,0.4098,0.5074,0.3092917461048346,55.0038,10.0,0.6028,0.39339999999999997,34.7378898473789
CLIP ViT-L/14,noise+occlusion,mild,0.5242,0.783,0.8656,0.6410593915509947,6.5812,1.0,0.6028,0.0786,86.9608493696085
CLIP ViT-L/14,noise+occlusion,medium,0.3976,0.6564,0.7588,0.5193179644529903,14.4762,2.0,0.6028,0.2052,65.9588586595886
CLIP ViT-L/14,noise+occlusion,severe,0.218,0.4192,0.5176,0.3180034020856469,50.9852,9.0,0.6028,0.38480000000000003,36.16456536164565
CLIP ViT-L/14,blur+noise+occlusion,mild,0.5092,0.7812,0.8674,0.6317489626702741,6.6902,1.0,0.6028,0.09360000000000002,84.4724618447246
CLIP ViT-L/14,blur+noise+occlusion,medium,0.3124,0.5638,0.6652,0.4300324900309353,24.2592,4.0,0.6028,0.2904,51.82481751824818
CLIP ViT-L/14,blur+noise+occlusion,severe,0.0788,0.1672,0.2256,0.130261278683313,185.3072,82.0,0.6028,0.524,13.07232913072329
SigLIP ViT-B/16,clean,clean,0.7298,0.9214,0.9658,0.8151131494755024,2.381,1.0,0.7298,0.0,100.0
SigLIP ViT-B/16,blur,mild,0.728,0.923,0.965,0.8130145944257708,2.4796,1.0,0.7298,0.0018000000000000238,99.75335708413263
SigLIP ViT-B/16,blur,medium,0.6904,0.9014,0.9516,0.7845452486994188,3.0374,1.0,0.7298,0.03939999999999999,94.60126061934777
SigLIP ViT-B/16,blur,severe,0.558,0.813,0.883,0.6728788797599855,6.3572,1.0,0.7298,0.17179999999999995,76.45930391888189
SigLIP ViT-B/16,noise,mild,0.717,0.9176,0.9596,0.8042387572374674,2.5964,1.0,0.7298,0.012800000000000034,98.24609482049877
SigLIP ViT-B/16,noise,medium,0.6886,0.9066,0.9536,0.7835542883076989,2.9402,1.0,0.7298,0.041200000000000014,94.3546177034804
SigLIP ViT-B/16,noise,severe,0.6106,0.8514,0.9198,0.7168635971328229,4.3148,1.0,0.7298,0.11919999999999997,83.66675801589477
SigLIP ViT-B/16,occlusion,mild,0.6622,0.8884,0.9372,0.7613571994235706,3.949,1.0,0.7298,0.0676,90.73718827075912
SigLIP ViT-B/16,occlusion,medium,0.5208,0.7666,0.8424,0.6324047812271959,11.0566,1.0,0.7298,0.20899999999999996,71.36201699095643
SigLIP ViT-B/16,occlusion,severe,0.39,0.624,0.711,0.5001684309971564,22.7632,3.0,0.7298,0.3398,53.43929843792821
SigLIP ViT-B/16,blur+noise,mild,0.7008,0.9104,0.9594,0.7924845533536874,2.7674,1.0,0.7298,0.029000000000000026,96.0263085776925
SigLIP ViT-B/16,blur+noise,medium,0.5604,0.8188,0.8862,0.673915736066216,6.1168,1.0,0.7298,0.1694,76.78816114003837
SigLIP ViT-B/16,blur+noise,severe,0.1772,0.3466,0.4406,0.2637245938519456,84.5124,16.0,0.7298,0.5526,24.280624828720196
SigLIP ViT-B/16,blur+occlusion,mild,0.6504,0.878,0.9366,0.7515952531022233,3.9998,1.0,0.7298,0.07940000000000003,89.12030693340641
SigLIP ViT-B/16,blur+occlusion,medium,0.4438,0.6928,0.778,0.5583891146521835,16.3174,2.0,0.7298,0.28600000000000003,60.81118114551931
SigLIP ViT-B/16,blur+occlusion,severe,0.2028,0.3786,0.4744,0.2929162002771219,68.9166,12.0,0.7298,0.527,27.788435187722666
SigLIP ViT-B/16,noise+occlusion,mild,0.6558,0.8762,0.9358,0.7538571940275437,4.1322,1.0,0.7298,0.07399999999999995,89.8602356810085
SigLIP ViT-B/16,noise+occlusion,medium,0.4666,0.7122,0.7982,0.5801429125953473,13.3498,2.0,0.7298,0.2632,63.9353247465059
SigLIP ViT-B/16,noise+occlusion,severe,0.2336,0.4168,0.5142,0.3269648412493315,62.2962,10.0,0.7298,0.4962,32.008769525897506
SigLIP ViT-B/16,blur+noise+occlusion,mild,0.6298,0.8726,0.9278,0.7362339970832052,4.462,1.0,0.7298,0.09999999999999998,86.29761578514662
SigLIP ViT-B/16,blur+noise+occlusion,medium,0.3224,0.5566,0.65,0.4325463560031042,33.811,4.0,0.7298,0.4074,44.176486708687314
SigLIP ViT-B/16,blur+noise+occlusion,severe,0.0296,0.0738,0.103,0.0578165334257076,316.7096,235.0,0.7298,0.7002,4.055905727596602
